0,352,2294,242,1704,67,633,1362,790,1194,370,1409,408,409,94,321,5011,575,1727,516
352,0,283,67,179,19,115,333,195,612,57,202,47,73,14,68,315,162,350,81
2294,283,0,185,1284,62,546,406,1254,1090,334,751,233,427,63,295,2741,476,1593,184
242,67,185,0,1878,341,1657,1149,121,131,954,106,599,178,510,877,2983,112,208,669
1704,179,1284,1878,0,470,4003,2654,482,426,1930,478,1367,2506,1304,2802,10181,478,743,1692
67,19,62,341,470,0,288,207,27,38,133,48,131,46,116,183,496,68,55,131
633,115,546,1657,4003,288,0,1762,242,238,1624,228,849,495,604,1270,6188,201,499,1043
1362,333,406,1149,2654,207,1762,0,189,757,913,224,652,492,343,726,5981,167,257,1091
790,195,1254,121,482,27,242,189,0,879,133,456,88,248,24,195,1380,427,1026,101
1194,612,1090,131,426,38,238,757,879,0,121,655,95,136,32,136,834,428,1307,150
370,57,334,954,1930,133,1624,913,133,121,0,130,431,291,255,498,2830,96,215,430
1409,202,751,106,478,48,228,224,456,655,130,0,158,128,40,99,553,347,794,84
408,47,233,599,1367,131,849,652,88,95,431,158,0,155,193,351,1772,86,157,309
409,73,427,178,2506,46,495,492,248,136,291,128,155,0,146,532,1646,141,198,270
94,14,63,510,1304,116,604,343,24,32,255,40,193,146,0,647,1140,52,80,507
321,68,295,877,2802,183,1270,726,195,136,498,99,351,532,647,0,2678,115,268,903
5011,315,2741,2983,10181,496,6188,5981,1380,834,2830,553,1772,1646,1140,2678,0,540,1231,2430
575,162,476,112,478,68,201,167,427,428,96,347,86,141,52,115,540,0,527,78
1727,350,1593,208,743,55,499,257,1026,1307,215,794,157,198,80,268,1231,527,0,195
516,81,184,669,1692,131,1043,1091,101,150,430,84,309,270,507,903,2430,78,195,0
